Title,Genres,Publishers,Review Score,Console,Rating,Year
Yoshi's Island DS,Action,Nintendo,81,Nintendo DS,E,2006
Tom Clancy's Ghost Recon: Advanced Warfighter,Action,Ubisoft,90,X360,E,2006
Fight Night Round 3,"Action,Sports",EA,86,X360,E,2006
Pokmon Ranger,Role-Playing (RPG),Nintendo,69,Nintendo DS,E,2006
Rayman Raving Rabbids,Action,Ubisoft,76,Nintendo Wii,T,2006
Saints Row,"Action,Racing / Driving",THQ,81,X360,T,2006
Tom Clancy's Rainbow Six: Vegas,Action,Ubisoft,88,X360,E,2006
Dead Rising,Action,Capcom,85,X360,E,2006
Call of Duty 3,Action,Activision,69,Nintendo Wii,E,2006
Lost Planet: Extreme Condition,Action,Capcom,79,X360,M,2006
Mario Hoops 3 on 3,Sports,Nintendo,69,Nintendo DS,M,2006
LEGO Star Wars II: The Original Trilogy,Action,EA,47,Nintendo DS,E,2006
Super Monkey Ball: Banana Blitz,Action,Sega,74,Nintendo Wii,T,2006
The Sims 2: Pets,Simulation,EA,49,Nintendo DS,T,2006
Need for Speed: Carbon - Own the City,Racing / Driving,EA,73,Sony PSP,E,2006
WarioWare: Smooth Moves,"Action,Racing / Driving,Sports",Nintendo,83,Nintendo Wii,T,2006
Fight Night Round 3,"Action,Sports",EA,83,PlayStation 3,T,2006
Final Fantasy III,Role-Playing (RPG),SquareEnix,77,Nintendo DS,E,2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,Action,Sony,81,Sony PSP,E,2006
Madden NFL 07,Sports,EA,78,Sony PSP,E,2006
Monster 4x4: World Circuit,Racing / Driving,Ubisoft,51,Nintendo Wii,E,2006
Kirby: Squeak Squad,Action,Nintendo,71,Nintendo DS,T,2006
Pokmon Battle Revolution,"Action,Strategy",Nintendo,53,Nintendo Wii,T,2006
Medal of Honor: Heroes,Action,EA,71,Sony PSP,E,2006
Tekken: Dark Resurrection,Action,"Namco,Sony",88,Sony PSP,E,2006
Need for Speed: Carbon,Racing / Driving,EA,77,X360,E,2006
Mario vs. Donkey Kong 2: March of the Minis,Action,Nintendo,76,Nintendo DS,T,2006
Sonic Rivals,"Action,Racing / Driving",Sega,64,Sony PSP,T,2006
NCAA Football 07,Sports,EA,79,X360,E,2006
Mortal Kombat: Unchained,Action,Midway,70,Sony PSP,E,2006
Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,85,X360,E,2006
Tetris DS,Strategy,Nintendo,84,Nintendo DS,M,2006
LEGO Star Wars II: The Original Trilogy,Action,,83,Sony PSP,T,2006
Red Steel,Action,Ubisoft,63,Nintendo Wii,T,2006
Metroid Prime: Hunters,Action,Nintendo,85,Nintendo DS,E,2006
LEGO Star Wars II: The Original Trilogy,Action,,81,X360,E,2006
NBA 2K7 ,Sports,2K,84,X360,E,2006
SEGA Genesis Collection,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,82,Sony PSP,T,2006
Call of Duty 3,Action,Activision,80,PlayStation 3,T,2006
NBA Live 07,Sports,EA,64,Sony PSP,E,2006
Madden NFL 07,Sports,EA,76,PlayStation 3,T,2006
SpongeBob SquarePants: The Yellow Avenger,Action,THQ,48,Sony PSP,T,2006
Madden NFL 07,Sports,EA,81,Nintendo Wii,E,2006
Fight Night Round 3,"Action,Simulation,Sports",EA,74,Sony PSP,T,2006
Need for Speed: Carbon,Racing / Driving,EA,75,PlayStation 3,T,2006
Need for Speed: Carbon,Racing / Driving,EA,67,Nintendo Wii,M,2006
WWE SmackDown vs. Raw 2007,Sports,THQ,81,X360,E,2006
Tiger Woods PGA Tour 07,Sports,EA,80,X360,T,2006
Viva Pi$?ata,"Simulation,Strategy",Microsoft,84,X360,E,2006
SpongeBob Squarepants: Creature from the Krusty Krab,"Action,Adventure",THQ,57,Nintendo Wii,T,2006
Tony Hawk's Project 8,Sports,Activision,68,Sony PSP,M,2006
Tony Hawk's Project 8,Sports,Activision,81,X360,E,2006
NBA LIVE 07 ,Sports,EA,59,X360,T,2006
Excite Truck,Racing / Driving,Nintendo,72,Nintendo Wii,M,2006
Harvest Moon DS,"Role-Playing (RPG),Simulation",,67,Nintendo DS,T,2006
Star Fox Command,Action,Nintendo,76,Nintendo DS,T,2006
Metal Gear Solid: Portable Ops,"Action,Strategy",Konami,87,Sony PSP,T,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,73,Nintendo Wii,M,2006
Blazing Angels: Squadrons of WWII,Action,Ubisoft,66,X360,E,2006
Major League Baseball 2K6,Sports,2K,66,X360,T,2006
NCAA Football 07,Sports,EA,75,Sony PSP,T,2006
MLB 06: The Show,Sports,Sony,83,Sony PSP,T,2006
Blazing Angels: Squadrons of WWII,Action,Ubisoft,67,PlayStation 3,T,2006
WWE SmackDown vs. Raw 2007,Sports,THQ,78,Sony PSP,T,2006
Rune Factory: A Fantasy Harvest Moon,"Role-Playing (RPG),Simulation",,78,Nintendo DS,T,2006
